MPIK,#E[TeV],EA[m^2],,IFAE,#E[TeV],EA[m^2],,SAM,#E[TeV],EA[m^2],,Paris-MVA,#E[TeV],EA[m^2]
,0.019648,96.683789,,,0.019851,279.303284,,,0.019864,634.010044,,,0.019867,756.632142
,0.031547,3771.354748,,,0.031512,946.563542,,,0.031851,4799.540581,,,0.031543,3211.363921
,0.050058,7765.452092,,,0.050079,12988.28779,,,0.05057,20045.81046,,,0.050069,10205.63684
,0.078685,15237.13291,,,0.079477,32433.26692,,,0.080273,64737.36107,,,0.079466,27177.0334
,0.126064,40574.73417,,,0.126118,68963.87049,,,0.127366,119112.9135,,,0.126113,65717.23295
,0.199888,32363.73651,,,0.200047,87673.30952,,,0.20017,189646.6336,,,0.200142,158911.9255
,0.317146,57663.49212,,,0.317402,158741.4965,,,0.320473,208619.2236,,,0.314615,332518.7549
,0.503319,141696.4426,,,0.4987,180335.094,,,0.508541,443593.5842,,,0.499206,642040.4048
,0.798565,248439.3841,,,0.799077,554957.5366,,,0.799405,928207.1553,,,0.799549,1162454.381
,1.266385,236489.6103,,,1.267408,651030.8907,,,1.267636,815328.4609,,,1.256438,1601530.203
,2.010894,1159962.312,,,2.010507,911448.3985,,,2.011564,1761750.162,,,1.993003,2102531.344
,3.158084,750768.6729,,,3.16015,1704222.279,,,3.159826,1498580.058,,,3.161203,2588371.919
,5.012153,1936005.15,,,5.059351,1844822.723,,,5.060129,2237299.232,,,5.013953,3036466.694
,7.949012,2029470.987,,,7.949827,2307964.565,,,7.951152,2844325.908,,,7.95258,3562134.913
,12.727387,2458537.014,,,12.60914,2707515.67,,,12.493754,3558392.537,,,12.731467,3674484.383
,19.996152,2619047.57,,,19.999999,3333152.465,,,20.002563,3914380.521,,,20.191439,3851879.964
,31.710002,2453320.129,,,31.720982,3786478.1,,,31.723015,4103357.73,,,31.42345,3726182.946
,50.300717,3326006.855,,,50.304587,3662754.893,,,50.307812,3969280.478,,,49.834026,3722186.709
,79.02199,3217400.007,,,79.772253,3376275.726,,,79.782481,3965023.525,,,80.536866,3964936.696
,126.508118,3318876.564,,,126.47406,2368070.297,,,126.519473,3714125.751,,,126.534073,4292236.858
