Energy(TeV),Differential Sensitivity (C.U.)
0.023083558,0.19788685
0.03291783,0.06644703
0.051080704,0.030231245
0.079937816,0.017032186
0.1272293,0.011232815
0.20594984,0.006924539
0.31423005,0.005406286
0.50012964,0.004831023
0.78931016,0.003486144
1.2456982,0.004940957
1.9994817,0.004220921
3.1290524,0.004316971
4.896754,0.004940957
7.7281117,0.00605005
12.300089,0.009382374
19.576864,0.017224886
30.896427,0.03828793
48.76109,0.056763828
77.608315,0.11794003
122.482315,0.24504781
194.94327,0.4978155
