log(E/GeV),EA(m^2)
0.051078167,1.3376426
0.18545361,1.468441
1.0817269,1.6022813
2.5878625,1.7330798
7.205217,1.8730038
25.669167,2.0038023
55.854584,2.1346009
152.59117,2.268441
379.1609,2.4022813
890.0446,2.5330799
1829.5864,2.6669202
3486.205,2.8007605
6769.993,2.9346008
11512.681,3.0653992
17472.416,3.1992395
25050.912,3.3330798
35916.508,3.4669201
46836.91,3.6007605
57700.086,3.7346008
67151.98,3.8653991
75243.77,3.9992394
79648.29,4.130038
98121.62,4.2638783
84310.63,4.4007607
89245.89,4.5285172
107880.06,4.6623573
69747.625,4.8022814
