log(E/GeV),EA (m^2)
0.038433142,1.069962
0.10905537,1.2038022
0.5465716,1.3376426
1.6108638,1.4714829
6.6789145,1.6022813
20.061016,1.7361217
55.854584,1.869962
155.51228,2.0038023
393.81668,2.1346009
873.3262,2.268441
2050.0513,2.4022813
4214.1104,2.5330799
8029.8213,2.6669202
12657.6455,2.8007605
19952.623,2.9346008
28069.54,3.0653992
35241.86,3.2022815
45957.133,3.3330798
57700.086,3.4669201
64652.934,3.6007605
72443.59,3.731559
81173.03,3.868441
89245.89,3.9992394
82726.96,4.1361217
89245.89,4.269962
101914.336,4.4007607
98121.62,4.531559
94470.05,4.665399
89245.89,4.7992396
98121.62,4.930038
